0.004705,0.004977,0.005211,0.005872,0.006027,0.006299,0.006338,0.007155,0.007427,0.009449
0.011359,0.013156,0.014204,0.019721,0.020445,0.023616,0.023666,0.027910,0.035324,0.044710
0.003863,0.004526,0.004565,0.004956,0.005970,0.006712,0.007492,0.007570,0.007804,0.008038
0.007753,0.008617,0.010421,0.011515,0.013281,0.013876,0.016486,0.020842,0.043469,0.075423
0.005275,0.005643,0.006124,0.006221,0.008321,0.008385,0.009812,0.009876,0.024866,0.032177
0.003852,0.003904,0.004007,0.004059,0.004446,0.006773,0.007006,0.007057,0.009281,0.018354
0.006313,0.006619,0.007327,0.008666,0.008877,0.009259,0.009374,0.009451,0.012378,0.014922
0.006165,0.006188,0.006282,0.006446,0.007736,0.007947,0.009822,0.011181,0.016456,0.016760
0.010155,0.010410,0.010725,0.011565,0.013546,0.014281,0.014311,0.014371,0.016096,0.016621
0.010592,0.011470,0.011697,0.011843,0.012038,0.012217,0.012461,0.013127,0.013793,0.060191
